Item Category,Item Name,Item Quality,StatTrak?,Souvenir?,Item Exterior,Lowest Listing Price ($),Steam Market Link
Nomad Knife,Vanilla,Covert Knife,True,False,Vanilla,$402.50,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife
Nomad Knife,Vanilla,Covert Knife,False,False,Vanilla,$267.17,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife
Nomad Knife,Fade,Covert Knife,True,False,Factory New,$808.51,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Fade%20%28Factory%20New%29
Nomad Knife,Fade,Covert Knife,True,False,Minimal Wear,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Fade%20%28Minimal%20Wear%29
Nomad Knife,Fade,Covert Knife,False,False,Factory New,$559.78,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Fade%20%28Factory%20New%29
Nomad Knife,Fade,Covert Knife,False,False,Minimal Wear,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Fade%20%28Minimal%20Wear%29
Nomad Knife,Crimson Web,Covert Knife,True,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Crimson%20Web%20%28Factory%20New%29
Nomad Knife,Crimson Web,Covert Knife,True,False,Minimal Wear,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Crimson%20Web%20%28Minimal%20Wear%29
Nomad Knife,Crimson Web,Covert Knife,True,False,Field-Tested,$373.15,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Crimson%20Web%20%28Field-Tested%29
Nomad Knife,Crimson Web,Covert Knife,True,False,Well-Worn,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Crimson%20Web%20%28Well-Worn%29
Nomad Knife,Crimson Web,Covert Knife,True,False,Battle-Scarred,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Crimson%20Web%20%28Battle-Scarred%29
Nomad Knife,Crimson Web,Covert Knife,False,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Crimson%20Web%20%28Factory%20New%29
Nomad Knife,Crimson Web,Covert Knife,False,False,Minimal Wear,"$1,055.25",https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Crimson%20Web%20%28Minimal%20Wear%29
Nomad Knife,Crimson Web,Covert Knife,False,False,Field-Tested,$340.92,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Crimson%20Web%20%28Field-Tested%29
Nomad Knife,Crimson Web,Covert Knife,False,False,Well-Worn,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Crimson%20Web%20%28Well-Worn%29
Nomad Knife,Crimson Web,Covert Knife,False,False,Battle-Scarred,$232.83,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Crimson%20Web%20%28Battle-Scarred%29
Nomad Knife,Slaughter,Covert Knife,True,False,Factory New,$569.85,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Slaughter%20%28Factory%20New%29
Nomad Knife,Slaughter,Covert Knife,True,False,Minimal Wear,$647.24,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Slaughter%20%28Minimal%20Wear%29
Nomad Knife,Slaughter,Covert Knife,True,False,Field-Tested,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Slaughter%20%28Field-Tested%29
Nomad Knife,Slaughter,Covert Knife,False,False,Factory New,$395.53,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Slaughter%20%28Factory%20New%29
Nomad Knife,Slaughter,Covert Knife,False,False,Minimal Wear,$374.63,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Slaughter%20%28Minimal%20Wear%29
Nomad Knife,Slaughter,Covert Knife,False,False,Field-Tested,$326.42,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Slaughter%20%28Field-Tested%29
Nomad Knife,Case Hardened,Covert Knife,True,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Case%20Hardened%20%28Factory%20New%29
Nomad Knife,Case Hardened,Covert Knife,True,False,Minimal Wear,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Case%20Hardened%20%28Minimal%20Wear%29
Nomad Knife,Case Hardened,Covert Knife,True,False,Field-Tested,$267.86,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Case%20Hardened%20%28Field-Tested%29
Nomad Knife,Case Hardened,Covert Knife,True,False,Well-Worn,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Case%20Hardened%20%28Well-Worn%29
Nomad Knife,Case Hardened,Covert Knife,True,False,Battle-Scarred,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Case%20Hardened%20%28Battle-Scarred%29
Nomad Knife,Case Hardened,Covert Knife,False,False,Factory New,$560.47,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Case%20Hardened%20%28Factory%20New%29
Nomad Knife,Case Hardened,Covert Knife,False,False,Minimal Wear,$300.00,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Case%20Hardened%20%28Minimal%20Wear%29
Nomad Knife,Case Hardened,Covert Knife,False,False,Field-Tested,$217.61,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Case%20Hardened%20%28Field-Tested%29
Nomad Knife,Case Hardened,Covert Knife,False,False,Well-Worn,$272.40,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Case%20Hardened%20%28Well-Worn%29
Nomad Knife,Case Hardened,Covert Knife,False,False,Battle-Scarred,$177.85,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Case%20Hardened%20%28Battle-Scarred%29
Nomad Knife,Blue Steel,Covert Knife,True,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Blue%20Steel%20%28Factory%20New%29
Nomad Knife,Blue Steel,Covert Knife,True,False,Minimal Wear,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Blue%20Steel%20%28Minimal%20Wear%29
Nomad Knife,Blue Steel,Covert Knife,True,False,Field-Tested,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Blue%20Steel%20%28Field-Tested%29
Nomad Knife,Blue Steel,Covert Knife,True,False,Well-Worn,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Blue%20Steel%20%28Well-Worn%29
Nomad Knife,Blue Steel,Covert Knife,True,False,Battle-Scarred,$200.00,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Blue%20Steel%20%28Battle-Scarred%29
Nomad Knife,Blue Steel,Covert Knife,False,False,Factory New,$340.00,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Blue%20Steel%20%28Factory%20New%29
Nomad Knife,Blue Steel,Covert Knife,False,False,Minimal Wear,$224.99,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Blue%20Steel%20%28Minimal%20Wear%29
Nomad Knife,Blue Steel,Covert Knife,False,False,Field-Tested,$199.10,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Blue%20Steel%20%28Field-Tested%29
Nomad Knife,Blue Steel,Covert Knife,False,False,Well-Worn,$198.65,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Blue%20Steel%20%28Well-Worn%29
Nomad Knife,Blue Steel,Covert Knife,False,False,Battle-Scarred,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Blue%20Steel%20%28Battle-Scarred%29
Nomad Knife,Stained,Covert Knife,True,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Stained%20%28Factory%20New%29
Nomad Knife,Stained,Covert Knife,True,False,Minimal Wear,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Stained%20%28Minimal%20Wear%29
Nomad Knife,Stained,Covert Knife,True,False,Field-Tested,$204.02,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Stained%20%28Field-Tested%29
Nomad Knife,Stained,Covert Knife,True,False,Well-Worn,$214.16,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Stained%20%28Well-Worn%29
Nomad Knife,Stained,Covert Knife,True,False,Battle-Scarred,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Stained%20%28Battle-Scarred%29
Nomad Knife,Stained,Covert Knife,False,False,Factory New,$405.86,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Stained%20%28Factory%20New%29
Nomad Knife,Stained,Covert Knife,False,False,Minimal Wear,$207.07,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Stained%20%28Minimal%20Wear%29
